Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,SEGMENT,CITY,STATE,COUNTRY,Postal Code,MARKET,REGION,Product ID,CATEGORY,Sub-Category,Product Name,SALES,QUANTITY,Discount percentage,PROFIT,Shipping Cost,Order Priority,DISCOUNT,LAT,LONG
ORD-000035,2023-02-05,2023-02-09,Same Day,CUST-00035,Customer 35,Consumer,Chicago,CA,United States,49206,EU Market,Central,PROD-000035,Technology,Chairs,Product 35,174.05,9,0.13,320.47,44.94,Low,22.73,46.50789,-84.27351
ORD-000036,2023-02-06,2023-02-11,Standard Class,CUST-00036,Customer 36,Corporate,Chicago,TX,United States,24029,APAC Market,West,PROD-000036,Office Supplies,Bookcases,Product 36,453.20,4,0.14,135.37,43.55,Medium,9.12,-47.01059,-149.35787
ORD-000037,2023-02-07,2023-02-13,Second Class,CUST-00037,Customer 37,Consumer,Chicago,TX,United States,58960,APAC Market,East,PROD-000037,Furniture,Tables,Product 37,532.40,2,0.39,33.58,6.72,Low,31.12,-60.21538,98.30104
ORD-000038,2023-02-08,2023-02-18,Standard Class,CUST-00038,Customer 38,Corporate,Los Angeles,TX,United States,88046,EU Market,South,PROD-000038,Technology,Phones,Product 38,320.81,8,0.19,9.29,34.92,Low,26.68,-23.36481,-161.17843
ORD-000039,2023-02-09,2023-02-13,Same Day,CUST-00039,Customer 39,Home Office,Chicago,NY,United States,84059,US Market,West,PROD-000039,Furniture,Chairs,Product 39,750.84,3,0.32,122.16,9.34,Medium,49.14,-76.77260,-110.21377
ORD-000040,2023-02-10,2023-02-17,Standard Class,CUST-00040,Customer 40,Home Office,New York,AZ,United States,85662,EU Market,Central,PROD-000040,Furniture,Phones,Product 40,100.33,5,0.26,490.10,10.53,Low,4.40,4.04571,45.32839
ORD-000041,2023-02-11,2023-02-12,Same Day,CUST-00041,Customer 41,Consumer,Chicago,TX,United States,22085,APAC Market,West,PROD-000041,Office Supplies,Binders,Product 41,845.84,8,0.07,-83.92,9.93,High,11.46,-85.46474,-132.32663
ORD-000042,2023-02-12,2023-02-15,Standard Class,CUST-00042,Customer 42,Corporate,Houston,IL,United States,94092,APAC Market,South,PROD-000042,Office Supplies,Chairs,Product 42,573.68,4,0.28,-91.55,33.06,High,34.35,7.62379,127.94920
ORD-000043,2023-02-13,2023-02-19,First Class,CUST-00043,Customer 43,Home Office,Phoenix,IL,United States,63139,US Market,Central,PROD-000043,Office Supplies,Binders,Product 43,65.97,1,0.19,45.71,25.17,Medium,37.80,12.83988,-129.04471
ORD-000044,2023-02-14,2023-02-22,First Class,CUST-00044,Customer 44,Consumer,Houston,AZ,United States,93773,US Market,East,PROD-000044,Technology,Chairs,Product 44,838.51,8,0.37,312.92,10.00,High,2.84,-75.32387,-23.19676
ORD-000045,2023-02-15,2023-02-21,Standard Class,CUST-00045,Customer 45,Consumer,Chicago,NY,United States,40661,EU Market,East,PROD-000045,Technology,Chairs,Product 45,878.05,2,0.04,9.45,23.09,Critical,23.31,-17.31812,10.74521
ORD-000046,2023-02-16,2023-02-21,Standard Class,CUST-00046,Customer 46,Consumer,Phoenix,CA,United States,35193,US Market,Central,PROD-000046,Furniture,Chairs,Product 46,121.18,4,0.32,437.97,26.47,High,47.16,45.11580,150.53188
ORD-000047,2023-02-17,2023-02-18,Same Day,CUST-00047,Customer 47,Corporate,Phoenix,TX,United States,97538,US Market,Central,PROD-000047,Furniture,Bookcases,Product 47,945.38,4,0.02,273.41,26.50,Medium,3.22,41.11871,-143.36885
ORD-000048,2023-02-18,2023-02-23,Same Day,CUST-00048,Customer 48,Home Office,New York,IL,United States,75955,APAC Market,East,PROD-000048,Furniture,Bookcases,Product 48,864.83,5,0.21,185.88,23.30,Critical,42.46,13.67663,-145.62586
ORD-000049,2023-02-19,2023-02-25,Second Class,CUST-00049,Customer 49,Corporate,Los Angeles,CA,United States,62609,EU Market,West,PROD-000049,Office Supplies,Phones,Product 49,498.36,6,0.37,452.06,46.48,Low,24.18,57.17383,25.82979
ORD-000050,2023-02-20,2023-03-01,Second Class,CUST-00050,Customer 50,Home Office,New York,AZ,United States,27139,APAC Market,West,PROD-000050,Furniture,Phones,Product 50,624.55,7,0.06,270.68,27.03,Medium,34.53,-21.53916,48.53930
ORD-000051,2023-02-21,2023-02-28,Second Class,CUST-00051,Customer 51,Home Office,Houston,NY,United States,49493,APAC Market,East,PROD-000051,Furniture,Binders,Product 51,897.27,4,0.08,147.24,5.57,Medium,32.85,35.84772,170.51627
ORD-000052,2023-02-22,2023-02-28,Standard Class,CUST-00052,Customer 52,Consumer,Chicago,NY,United States,83792,US Market,Central,PROD-000052,Technology,Bookcases,Product 52,81.51,3,0.38,490.03,32.04,High,38.23,-54.30786,65.05719
ORD-000053,2023-02-23,2023-02-24,Standard Class,CUST-00053,Customer 53,Consumer,Los Angeles,CA,United States,90499,APAC Market,Central,PROD-000053,Furniture,Tables,Product 53,607.24,6,0.45,-95.63,47.16,Medium,25.45,50.24860,-173.18243
ORD-000054,2023-02-24,2023-03-03,Standard Class,CUST-00054,Customer 54,Consumer,New York,IL,United States,64430,APAC Market,Central,PROD-000054,Technology,Phones,Product 54,163.36,6,0.01,483.65,20.36,High,24.57,65.33145,176.57598
ORD-000055,2023-02-25,2023-03-06,Second Class,CUST-00055,Customer 55,Home Office,New York,NY,United States,97554,US Market,Central,PROD-000055,Office Supplies,Bookcases,Product 55,999.35,9,0.25,391.94,35.89,Critical,26.01,-51.47855,22.84084
ORD-000056,2023-02-26,2023-03-06,Second Class,CUST-00056,Customer 56,Consumer,Chicago,CA,United States,94257,EU Market,Central,PROD-000056,Furniture,Chairs,Product 56,248.81,9,0.33,476.27,49.72,Low,46.79,58.59583,22.67621
ORD-000057,2023-02-27,2023-03-05,Second Class,CUST-00057,Customer 57,Corporate,Chicago,CA,United States,51439,EU Market,West,PROD-000057,Office Supplies,Phones,Product 57,33.01,6,0.11,-55.07,38.13,Low,37.27,84.67790,-58.13141
ORD-000058,2023-02-28,2023-03-01,First Class,CUST-00058,Customer 58,Corporate,New York,TX,United States,45261,EU Market,East,PROD-000058,Office Supplies,Bookcases,Product 58,929.66,7,0.20,47.31,32.80,Medium,31.11,27.82781,-62.40901
ORD-000059,2023-03-01,2023-03-11,Standard Class,CUST-00059,Customer 59,Home Office,New York,NY,United States,35355,US Market,West,PROD-000059,Furniture,Bookcases,Product 59,304.83,1,0.11,-84.72,46.51,Medium,31.39,0.73819,-157.28579
ORD-000060,2023-03-02,2023-03-11,Same Day,CUST-00060,Customer 60,Consumer,Chicago,TX,United States,70267,US Market,West,PROD-000060,Furniture,Bookcases,Product 60,848.19,8,0.13,210.43,33.78,Critical,25.29,4.58107,5.30668
ORD-000061,2023-03-03,2023-03-13,Standard Class,CUST-00061,Customer 61,Corporate,Chicago,AZ,United States,37250,APAC Market,Central,PROD-000061,Office Supplies,Chairs,Product 61,983.55,1,0.06,-65.64,18.36,Low,11.39,32.43485,-52.45294
ORD-000062,2023-03-04,2023-03-06,Standard Class,CUST-00062,Customer 62,Corporate,Chicago,TX,United States,43593,US Market,South,PROD-000062,Technology,Tables,Product 62,710.80,7,0.35,300.06,27.00,Low,28.83,-77.22973,159.52823
ORD-000063,2023-03-05,2023-03-11,Standard Class,CUST-00063,Customer 63,Consumer,Houston,AZ,United States,38187,APAC Market,West,PROD-000063,Technology,Tables,Product 63,67.68,2,0.40,262.00,49.47,Low,30.63,-68.19754,-63.25803
ORD-000064,2023-03-06,2023-03-09,Second Class,CUST-00064,Customer 64,Home Office,Los Angeles,AZ,United States,87741,EU Market,South,PROD-000064,Technology,Phones,Product 64,219.40,1,0.30,459.84,20.14,Critical,35.03,71.38987,60.71885
ORD-000065,2023-03-07,2023-03-15,Standard Class,CUST-00065,Customer 65,Corporate,Los Angeles,CA,United States,48790,EU Market,South,PROD-000065,Furniture,Phones,Product 65,580.32,2,0.16,234.68,32.05,Medium,34.36,-28.94086,152.08588
ORD-000066,2023-03-08,2023-03-18,Standard Class,CUST-00066,Customer 66,Corporate,Los Angeles,IL,United States,74567,APAC Market,South,PROD-000066,Technology,Binders,Product 66,379.00,3,0.32,204.72,48.94,Low,15.03,43.31654,152.27883
ORD-000067,2023-03-09,2023-03-11,Standard Class,CUST-00067,Customer 67,Home Office,Chicago,NY,United States,98134,EU Market,Central,PROD-000067,Technology,Chairs,Product 67,59.83,8,0.25,449.28,14.21,Medium,43.02,-23.89562,-21.29050
ORD-000068,2023-03-10,2023-03-20,Second Class,CUST-00068,Customer 68,Corporate,New York,CA,United States,18226,EU Market,South,PROD-000068,Furniture,Chairs,Product 68,267.23,6,0.10,213.59,5.61,Medium,49.58,-87.69097,122.95131
ORD-000069,2023-03-11,2023-03-14,Standard Class,CUST-00069,Customer 69,Consumer,New York,TX,United States,92556,US Market,West,PROD-000069,Technology,Tables,Product 69,205.22,6,0.10,357.02,43.39,Critical,42.61,51.60956,120.25809
ORD-000070,2023-03-12,2023-03-19,Same Day,CUST-00070,Customer 70,Corporate,Chicago,CA,United States,87542,EU Market,South,PROD-000070,Office Supplies,Chairs,Product 70,647.73,5,0.32,316.96,13.34,Low,28.62,-34.69022,-99.10107
ORD-000071,2023-03-13,2023-03-14,First Class,CUST-00071,Customer 71,Consumer,Phoenix,TX,United States,17868,APAC Market,South,PROD-000071,Technology,Bookcases,Product 71,145.03,4,0.14,-18.14,12.40,High,49.68,-80.98070,92.04742
ORD-000072,2023-03-14,2023-03-22,Second Class,CUST-00072,Customer 72,Home Office,Phoenix,AZ,United States,51564,APAC Market,South,PROD-000072,Technology,Phones,Product 72,682.67,9,0.36,-77.95,19.84,High,44.68,-11.10327,-57.12730
ORD-000073,2023-03-15,2023-03-20,Standard Class,CUST-00073,Customer 73,Home Office,Phoenix,TX,United States,45488,US Market,West,PROD-000073,Office Supplies,Bookcases,Product 73,939.20,3,0.34,415.55,10.71,Critical,20.85,-26.16779,-62.62922
ORD-000074,2023-03-16,2023-03-26,First Class,CUST-00074,Customer 74,Home Office,Los Angeles,IL,United States,34382,APAC Market,South,PROD-000074,Furniture,Bookcases,Product 74,808.87,1,0.47,399.05,45.32,Medium,12.04,51.15873,143.90736
ORD-000075,2023-03-17,2023-03-25,Second Class,CUST-00075,Customer 75,Consumer,Chicago,IL,United States,91990,EU Market,East,PROD-000075,Technology,Binders,Product 75,335.99,3,0.17,-66.39,44.22,Medium,3.77,-11.62826,-30.04217
ORD-000076,2023-03-18,2023-03-24,Standard Class,CUST-00076,Customer 76,Consumer,Chicago,CA,United States,40810,EU Market,South,PROD-000076,Technology,Binders,Product 76,729.86,3,0.19,103.65,14.41,Low,21.90,68.85984,51.56560
ORD-000077,2023-03-19,2023-03-20,Same Day,CUST-00077,Customer 77,Corporate,Los Angeles,NY,United States,63112,EU Market,South,PROD-000077,Furniture,Bookcases,Product 77,954.28,3,0.00,388.16,7.22,Critical,4.46,84.03568,61.18676
ORD-000078,2023-03-20,2023-03-27,Same Day,CUST-00078,Customer 78,Consumer,New York,AZ,United States,98434,US Market,West,PROD-000078,Technology,Chairs,Product 78,540.91,9,0.17,83.68,47.73,Low,49.17,26.57014,-85.42035
ORD-000079,2023-03-21,2023-03-31,Second Class,CUST-00079,Customer 79,Corporate,Phoenix,IL,United States,40887,US Market,South,PROD-000079,Office Supplies,Phones,Product 79,992.71,4,0.03,90.02,6.66,Critical,7.21,14.93337,-172.50546
ORD-000080,2023-03-22,2023-03-29,Same Day,CUST-00080,Customer 80,Corporate,Houston,CA,United States,31746,EU Market,Central,PROD-000080,Office Supplies,Phones,Product 80,253.42,6,0.25,298.00,26.11,Critical,1.28,13.08390,-92.40636
ORD-000081,2023-03-23,2023-03-31,Standard Class,CUST-00081,Customer 81,Home Office,Houston,IL,United States,17012,US Market,Central,PROD-000081,Office Supplies,Bookcases,Product 81,48.16,9,0.27,326.99,48.59,Medium,37.30,-50.84738,-71.88228
ORD-000082,2023-03-24,2023-04-01,Same Day,CUST-00082,Customer 82,Home Office,Phoenix,IL,United States,43807,APAC Market,South,PROD-000082,Technology,Chairs,Product 82,596.73,3,0.43,333.35,47.20,High,43.12,-28.90155,168.50605
ORD-000083,2023-03-25,2023-03-31,Same Day,CUST-00083,Customer 83,Home Office,Chicago,CA,United States,61357,US Market,South,PROD-000083,Technology,Chairs,Product 83,41.09,5,0.29,72.66,22.56,Medium,43.22,39.97586,75.55483
ORD-000084,2023-03-26,2023-04-04,First Class,CUST-00084,Customer 84,Corporate,Chicago,AZ,United States,30359,APAC Market,South,PROD-000084,Furniture,Tables,Product 84,711.81,9,0.27,244.04,34.89,Critical,8.49,-29.47513,27.68897
ORD-000085,2023-03-27,2023-03-31,Same Day,CUST-00085,Customer 85,Corporate,Houston,AZ,United States,81951,EU Market,East,PROD-000085,Technology,Phones,Product 85,52.75,7,0.48,422.25,35.85,Low,36.16,56.58096,123.82207
ORD-000086,2023-03-28,2023-03-30,Standard Class,CUST-00086,Customer 86,Consumer,Chicago,IL,United States,96170,APAC Market,East,PROD-000086,Furniture,Binders,Product 86,230.25,3,0.33,49.75,41.75,Medium,10.93,-27.75263,-97.71688
ORD-000087,2023-03-29,2023-04-08,Same Day,CUST-00087,Customer 87,Consumer,Phoenix,CA,United States,80349,US Market,Central,PROD-000087,Technology,Chairs,Product 87,751.79,5,0.27,111.31,39.04,Low,8.55,80.57489,-71.34623
ORD-000088,2023-03-30,2023-04-07,Standard Class,CUST-00088,Customer 88,Home Office,Phoenix,CA,United States,49636,APAC Market,East,PROD-000088,Technology,Chairs,Product 88,259.96,8,0.00,430.77,39.50,Low,30.80,37.50387,-134.87589
ORD-000089,2023-03-31,2023-04-02,Second Class,CUST-00089,Customer 89,Consumer,New York,TX,United States,66172,APAC Market,West,PROD-000089,Furniture,Bookcases,Product 89,275.11,1,0.45,102.49,15.86,Low,34.41,63.63553,-101.62051
ORD-000090,2023-04-01,2023-04-05,Standard Class,CUST-00090,Customer 90,Corporate,Phoenix,TX,United States,95108,EU Market,East,PROD-000090,Technology,Bookcases,Product 90,583.73,2,0.45,265.54,13.85,Medium,18.46,-15.24777,126.05955
ORD-000091,2023-04-02,2023-04-04,Same Day,CUST-00091,Customer 91,Corporate,Phoenix,AZ,United States,25962,APAC Market,West,PROD-000091,Furniture,Chairs,Product 91,539.61,5,0.13,493.89,42.07,Low,38.72,-35.83753,66.51664
ORD-000092,2023-04-03,2023-04-06,First Class,CUST-00092,Customer 92,Consumer,Phoenix,AZ,United States,55646,US Market,West,PROD-000092,Office Supplies,Binders,Product 92,719.91,1,0.03,5.09,19.80,High,22.35,-71.09696,81.00870
ORD-000093,2023-04-04,2023-04-11,Second Class,CUST-00093,Customer 93,Home Office,Houston,NY,United States,71930,EU Market,East,PROD-000093,Technology,Tables,Product 93,680.50,5,0.40,152.58,25.08,Critical,18.08,-67.19509,62.50353
ORD-000094,2023-04-05,2023-04-15,Second Class,CUST-00094,Customer 94,Home Office,Phoenix,IL,United States,42793,EU Market,West,PROD-000094,Office Supplies,Bookcases,Product 94,372.79,3,0.08,97.70,15.62,High,7.63,51.69175,-53.24089
ORD-000095,2023-04-06,2023-04-09,Standard Class,CUST-00095,Customer 95,Consumer,Chicago,IL,United States,66045,US Market,East,PROD-000095,Office Supplies,Phones,Product 95,684.08,4,0.49,306.49,49.49,Low,14.66,-47.24931,83.93899
ORD-000096,2023-04-07,2023-04-08,Same Day,CUST-00096,Customer 96,Corporate,Chicago,NY,United States,69430,EU Market,Central,PROD-000096,Furniture,Bookcases,Product 96,680.04,8,0.06,27.64,20.29,Low,3.21,-47.15736,50.97806
ORD-000097,2023-04-08,2023-04-10,Standard Class,CUST-00097,Customer 97,Home Office,Los Angeles,NY,United States,47504,APAC Market,East,PROD-000097,Technology,Bookcases,Product 97,623.90,9,0.24,147.68,41.14,Low,29.13,-80.50397,-76.20778
ORD-000098,2023-04-09,2023-04-10,Same Day,CUST-00098,Customer 98,Home Office,New York,IL,United States,72429,US Market,West,PROD-000098,Technology,Bookcases,Product 98,193.04,2,0.27,257.08,16.65,Low,30.02,2.22230,-110.84560
ORD-000099,2023-04-10,2023-04-15,Second Class,CUST-00099,Customer 99,Home Office,Los Angeles,IL,United States,11181,APAC Market,West,PROD-000099,Technology,Chairs,Product 99,441.73,5,0.33,77.38,23.16,Low,29.57,14.30047,-15.97228
ORD-000100,2023-04-11,2023-04-15,Same Day,CUST-00100,Customer 100,Consumer,Chicago,CA,United States,22371,US Market,West,PROD-000100,Office Supplies,Binders,Product 100,313.35,4,0.30,242.03,8.15,High,18.93,-2.37325,-116.78272
ORD-000101,2023-04-12,2023-04-15,Same Day,CUST-00101,Customer 101,Corporate,Los Angeles,TX,United States,41809,EU Market,West,PROD-000101,Furniture,Binders,Product 101,737.04,7,0.02,337.38,15.85,Critical,42.32,67.56262,150.80637
ORD-000102,2023-04-13,2023-04-22,Standard Class,CUST-00102,Customer 102,Corporate,Los Angeles,CA,United States,40253,US Market,South,PROD-000102,Office Supplies,Bookcases,Product 102,781.79,4,0.40,192.64,25.53,Medium,45.26,-78.00273,-171.43264
ORD-000103,2023-04-14,2023-04-15,Second Class,CUST-00103,Customer 103,Consumer,Los Angeles,TX,United States,80105,US Market,South,PROD-000103,Office Supplies,Tables,Product 103,849.90,1,0.36,158.98,21.68,Low,29.99,-36.11492,156.85078
ORD-000104,2023-04-15,2023-04-19,Standard Class,CUST-00104,Customer 104,Home Office,Los Angeles,TX,United States,68556,EU Market,West,PROD-000104,Office Supplies,Binders,Product 104,711.70,3,0.19,466.69,42.28,High,6.65,70.07681,-26.50907
ORD-000105,2023-04-16,2023-04-22,Second Class,CUST-00105,Customer 105,Consumer,Phoenix,AZ,United States,16600,APAC Market,Central,PROD-000105,Furniture,Binders,Product 105,883.73,2,0.13,68.41,32.25,Medium,24.23,-5.34828,-152.19642
ORD-000106,2023-04-17,2023-04-23,Same Day,CUST-00106,Customer 106,Consumer,Chicago,TX,United States,17763,EU Market,East,PROD-000106,Office Supplies,Chairs,Product 106,469.57,8,0.44,302.29,17.93,Low,20.30,-3.27132,171.82353
ORD-000107,2023-04-18,2023-04-21,First Class,CUST-00107,Customer 107,Consumer,Houston,NY,United States,38889,EU Market,South,PROD-000107,Technology,Chairs,Product 107,71.56,5,0.14,320.56,28.83,High,26.55,70.59847,138.68732
ORD-000108,2023-04-19,2023-04-24,Second Class,CUST-00108,Customer 108,Corporate,Los Angeles,NY,United States,96588,EU Market,South,PROD-000108,Technology,Tables,Product 108,16.86,6,0.24,30.70,36.70,Medium,1.76,47.82915,-51.17478
ORD-000109,2023-04-20,2023-04-24,Second Class,CUST-00109,Customer 109,Corporate,New York,NY,United States,13644,US Market,South,PROD-000109,Technology,Tables,Product 109,276.80,3,0.26,-92.17,12.74,Low,4.94,-5.73394,4.24560
